X,Y,OBJECTID,Watershed,Waterbody,Latitude,Longitude,Collection,SampleDept,FTS42,FTS42Flag,FTS62,FTS62Flag,FTS82,FTS82Flag,FOSA,FOSAFlag,NEtFOSAA,NMeFOSAA,PFBA,PFBAFlag,PFBS,PFBSFlag,PFDA,PFDAFlag,PFDoA,PFDoAFlag,PFDS,PFDSFlag,PFHpA,PFHpAFlag,PFHpS,PFHpSFlag,PFHxA,PFHxAFlag,PFHxS,PFHxSFlag,PFNA,PFNAFlag,PFNS,PFNSFlag,PFOA,PFOAFlag,PFOS,PFOSFlag,PFPeA,PFPeAFlag,PFPeS,PFPeSFlag,PFTeA,PFTeAFlag,PFTriA,PFTriAFlag,PFUnA,PFUnAFlag,PF3ONS9Cl,ADONA,ADONAFlag,GenX,GenXFlag,FTCA53,NEtFOSAAFlag,NMeFOSAAFlag,PF3OUdS11Cl,PF3OUdS11ClFlag,PF3ONS9ClFlag,FTCA53Flag
-85.69099999995,43.0900999997153,1671,Lower Grand,Mill Creek,43.0901,-85.691,2019/07/08 00:00:00+00, ,4.4,K,1.7,K,1.7,K,0.29,K,1.6,2.6,2.8, ,0.69,J,0.26,K,0.46,K,0.27,K,0.67,J,0.16,K,1,J,0.49,J B,0.26,J,0.13,K,0.94,J,1.1,J,0.61,J,0.25,K,0.24,K,1.1,K,0.92,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.69099999995,43.0900999997153,1672,Lower Grand,Mill Creek,43.0901,-85.691,2019/09/16 00:00:00+00, ,4.6,K,1.8,K,1.8,K,0.46,J B,1.7,2.7,1.9, ,0.6,J,0.27,K,0.48,K,0.28,K,0.28,J,0.17,K,0.51,K,0.35,J B,0.24,K,0.14,K,0.75,K,0.78,J,0.43,K,0.26,K,0.25,K,1.1,K,0.96,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.69099999995,43.0900999997153,1673,Lower Grand,Mill Creek,43.0901,-85.691,2019/11/12 00:00:00+00, ,4.8,K,1.9,K,1.9,K,0.95,J B,1.8,2.9,3.2,B,0.4,J B,0.29,K,0.51,K,0.3,K,0.48,J B,0.18,K,0.54,K,0.46,J B,0.32,J B,0.15,K,0.79,K,0.5,K,0.46,K,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.69099999995,43.0900999997153,1674,Lower Grand,Mill Creek,43.0901,-85.691,2020/05/20 00:00:00+00, ,4.7,K,1.8,K,1.8,K,1.1,J B,1.7,2.8,4.1,B,0.81,J,0.28,K,0.5,K,0.29,K,0.69,J,0.17,K,0.89,J,0.47,J B,0.34,J,0.14,K,1.1,J,2.6,I,1.1,J,0.27,K,0.26,K,1.2,K,1,K,0.22,0.16,K,1.4,K, ,K,K,0.29,K,K,Not Measured
-85.69099999995,43.0900999997153,1675,Lower Grand,Mill Creek,43.0901,-85.691,2020/06/30 00:00:00+00, ,4.3,K,1.6,K,1.6,K,0.41,J B,1.6,2.6,1.6,B,0.71,J,0.26,K,0.45,K,0.26,K,0.28,J,0.16,K,0.48,K,0.36,J B,0.22,K,0.13,K,0.7,J,0.82,J,0.67,J,0.25,K,0.24,K,1.1,K,0.91,K,0.2,0.15,K,1.2,K, ,K,K,0.26,K,K,Not Measured
-85.69099999995,43.0900999997153,1676,Lower Grand,Mill Creek,43.0901,-85.691,2020/09/02 00:00:00+00, ,4.4,K,1.7,K,1.7,K,0.85,J B,1.6,2.6,1.6,J,0.68,J,0.26,K,0.46,K,0.27,K,0.27,J,0.16,K,0.49,K,0.42,J,0.23,K,0.13,K,0.72,K,1.1,J B,0.82,J,0.25,K,0.24,K,1.1,K,0.93,K,0.2,0.15,K,1.3,K, ,K,K,0.27,K,K,Not Measured
-85.69099999995,43.0900999997153,1677,Lower Grand,Mill Creek,43.0901,-85.691,2020/11/03 00:00:00+00, ,0.22,K,2.3,K,0.43,K,0.91,K,1.2,1.1,2.2,K,0.56,J,0.29,K,0.51,K,0.3,K,0.23,K,0.18,K,0.54,K,0.53,K,0.25,K,0.34,K,0.79,K,0.5,K,0.48,J,0.28,K,0.68,K,1.2,K,1,K,0.22,0.37,K,1.4,K, ,K,K,0.3,K,K,Not Measured
-83.1849450000117,42.9220139996464,1678,Flint,Whigville Creek,42.922014,-83.184945,2019/05/23 00:00:00+00, ,5.1,K,2,K,2,K,0.35,K,1.9,3.1,4, ,0.77,J,0.31,K,0.54,K,0.32,K,0.72,J,0.19,K,0.86,J I,0.42,J B,0.42,J,0.16,K,1.1,J,0.53,K,0.48,K,0.3,K,0.29,K,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.1849450000117,42.9220139996464,1679,Flint,Whigville Creek,42.922014,-83.184945,2019/07/16 00:00:00+00, ,4.8,K,1.8,K,1.8,K,0.32,K,1.8,2.9,1.7,J,0.23,J,0.29,K,0.51,K,0.29,K,0.28,J,0.18,K,0.53,K,0.32,J B,0.37,J,0.15,K,0.78,K,0.55,J,0.45,K,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.1849450000117,42.9220139996464,1680,Flint,Whigville Creek,42.922014,-83.184945,2019/09/11 00:00:00+00, ,4.9,K,1.9,K,1.9,K,0.33,K,1.8,2.9,0.7,J,0.19,K,0.29,K,0.52,K,0.3,K,0.24,K,0.18,K,0.55,K,0.3,J B,0.26,K,0.15,K,0.81,K,0.51,K,0.47,K,0.28,K,0.28,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-83.1849450000117,42.9220139996464,1681,Flint,Whigville Creek,42.922014,-83.184945,2019/11/14 00:00:00+00, ,4.9,K,1.9,K,1.9,K,0.44,J,1.8,2.9,2.9, ,0.38,J,0.29,K,0.52,K,0.3,K,0.57,J,0.18,K,0.69,J,0.35,J B,0.25,K,0.15,K,0.8,K,0.51,K,0.51,J,0.28,K,0.27,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-84.0296000000399,42.5748000002199,1682,Upper Grand,Marion Iosco Drain,42.5748,-84.0296,2020/05/27 00:00:00+00, ,17,K,17,K,17,K,0.53,J B,17,17,4.7, ,0.78,J,1.7,K,1.7,K,1.7,K,0.9,J,1.7,K,1.3,J,0.43,J I,0.63,J I,1.7,K,1.4,J,0.82,J I,1.4,J B,1.7,K,1.7,K,1.7,K,1.7,K,1.7,1.7,K,3.5,K, ,K,K,1.7,K,K,Not Measured
-84.0296000000399,42.5748000002199,1683,Upper Grand,Marion Iosco Drain,42.5748,-84.0296,2020/07/08 00:00:00+00, ,4.8,K,1.8,K,1.8,K,0.56,J,1.8,2.9,1.1,J,0.35,J,0.29,K,0.51,K,0.3,K,0.23,K,0.18,K,0.54,K,0.33,J B,0.25,K,0.15,K,0.79,K,0.7,J,0.62,J,0.28,K,0.27,K,1.2,K,1,K,0.22,0.17,K,1.4,K, ,K,K,0.3,K,K,Not Measured
-84.0296000000399,42.5748000002199,1684,Upper Grand,Marion Iosco Drain,42.5748,-84.0296,2020/09/16 00:00:00+00, ,0.22,K,2.3,K,0.42,K,0.9,K,1.2,1.1,2.2,K,0.4,J,0.29,K,0.51,K,0.29,K,0.31,J,0.18,K,0.54,J,0.53,K,0.25,K,0.34,K,0.78,K,0.5,K,1,J,0.28,K,0.67,K,1.2,K,1,K,0.22,0.37,K,1.4,K, ,K,K,0.29,K,K,Not Measured
-84.0296000000399,42.5748000002199,1685,Upper Grand,Marion Iosco Drain,42.5748,-84.0296,2020/11/12 00:00:00+00, ,0.23,K,2.4,K,0.43,K,1,J,1.2,1.1,2.3,K,0.35,J,0.29,K,0.52,K,0.3,K,0.24,K,0.18,K,0.55,K,0.54,K,0.25,K,0.35,K,0.8,K,0.51,K,0.66,J,0.28,K,0.69,K,1.2,K,1,K,0.23,0.38,K,1.4,K, ,K,K,0.3,K,K,Not Measured
-85.57359999994,46.137100000065,1686,Brevoort-Millecoquins,Furlong Creek,46.1371,-85.5736,2019/05/13 00:00:00+00, ,5,K,1.9,*,1.9,K,0.34,K,1.8,3,2.5,B,0.19,K,0.3,K,0.53,K,0.31,K,0.24,K,0.18,K,0.56,K,0.41,J B,0.26,K,0.15,K,0.82,K,0.52,K,0.47,K,0.29,K,0.29,J,1.3,K,1.1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.57359999994,46.137100000065,1687,Brevoort-Millecoquins,Furlong Creek,46.1371,-85.5736,2019/07/16 00:00:00+00, ,4.6,K H,1.8,K H,1.8,K H,0.31,K H,1.7,2.7,7.3,H,0.69,J H,0.27,K H,0.48,K H,0.28,K H,1,J H,0.17,K H,1,J H,0.56,J H B,0.59,J H,0.14,K H,1.3,J H,1.3,J H,0.72,J H,0.26,K H,0.26,K H,1.1,K H,0.97,K H, , ,Not Measured, ,Not Measured, ,K H,K H, ,Not Measured,Not Measured,Not Measured
-85.57359999994,46.137100000065,1688,Brevoort-Millecoquins,Furlong Creek,46.1371,-85.5736,2019/09/08 00:00:00+00, ,4.7,K,1.8,K,1.8,K,0.37,J B,1.7,2.8,5.1, ,0.18,K,0.28,K,0.5,K,0.29,K,0.55,J,0.17,K,0.57,J,0.49,J B,0.26,J,0.15,K,0.77,K,0.49,K,0.44,K,0.27,K,0.26,K,1.2,K,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
-85.57359999994,46.137100000065,1689,Brevoort-Millecoquins,Furlong Creek,46.1371,-85.5736,2019/11/03 00:00:00+00, ,4.7,K,1.8,K,1.8,K,0.45,J B,1.7,2.8,2.1, ,0.22,J,0.28,K,0.5,K,0.29,K,0.23,J,0.17,K,0.53,K,0.38,J B,0.25,K,0.15,K,0.78,K,0.49,K,0.45,K,0.27,K,0.26,K,1.2,K*,1,K, , ,Not Measured, ,Not Measured, ,K,K, ,Not Measured,Not Measured,Not Measured
