X,Y,OBJECTID,ID_MA98,AG_MG_KG,AS_MG_KG,BA_MG_KG,BE_MG_KG,CD_MG_KG,CR_MG_KG,CU_MG_KG,HG_MG_KG,MN_MG_KG,MO_MG_KG,NI_MG_KG,PB_MG_KG,SB_MG_KG,SE_MG_KG,ZN_MG_KG,ID_UFSCL,FDOTID_UF,LAB_NUM_UF,DATE_UF,COUNTY_UF,SOIL_ORDER,SO_SER_UF,SOIL_TY_UF,HORIZON_UF,PARENT_UF,LATITUDE,LONGITUDE,ALBERS_X,ALBERS_Y
513317.9375,635329.9173,68,7307,0.39,2.8,7.3,0.200,0.004,3.6,2,2.8,8.000,0.4,9,3.26,0.150,0.01,3.2,S21_011,7307,7307,1987/04/07 00:00:00+00,Gilchrist,ULTS,Albany fine sand,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",Ap,Loamy marine sediments,29.719949,-82.826969,513317.79,635330.27
179384.207699999,775562.2203,69,18,0.99,9.08,87.4,0.310,0.2,53.9,4.5,86.1,77.600,5.28,33.7,16.18,1.100,4.62,11.1,S66_004,16,4065,1979/03/06 00:00:00+00,Walton,ULTS,BONIFAY LOAMY SAND,"Grossarenic Plinthic Paleudults, loamy, siliceous, subactive, thermic.",Bw2,Sandy and loamy coastal plain sediments.,30.969736,-86.310751,179384.23,775562.54
179384.207699999,775562.2203,70,21,0.88,11.7,62.2,0.320,0.22,64.6,4,35.7,49.200,6.48,45.2,9.04,NA,3.82,8,S66_004,21,4068,1979/03/06 00:00:00+00,Walton,ULTS,BONIFAY LOAMY SAND,"Grossarenic Plinthic Paleudults, loamy, siliceous, subactive, thermic.",Btv1,Sandy and loamy coastal plain sediments.,30.969736,-86.310751,179384.23,775562.54
179384.207699999,775562.2203,71,4064,0.52,0.56,22.3,NA,0.004,16.4,3.8,3.6,169.000,1.93,28.2,7.35,NA,0.05,8.7,S66_004,4064,4064,1979/03/06 00:00:00+00,Walton,ULTS,BONIFAY LOAMY SAND,"Grossarenic Plinthic Paleudults, loamy, siliceous, subactive, thermic.",A,Sandy and loamy coastal plain sediments.,30.969736,-86.310751,179384.23,775562.54
502714.589600001,628215.4957,72,7312,0.47,1.3,18.5,1.100,0.13,8.8,3,1.3,109.000,0.9,10,4.53,0.150,0.08,6.7,S21_012,7312,7312,1987/04/07 00:00:00+00,Gilchrist,ULTS,Blanton fine sand,"Grossarenic Paleudults, loamy, siliceous, semiactive, thermic.",Ap,Loamy marine deposit,29.656737,-82.937361,502714.42,628215.75
603297.214200001,379763.4081,73,3498,0.33,0.27,160,0.140,0.004,1.8,0.7,4.5,2.700,0.62,7.3,2.5,0.300,0.01,1.2,S25_002,3498,3498,1978/04/06 00:00:00+00,Hardee,ODS,POMONA  FINE SAND,"Ultic Alaquods, sandy, siliceous, hyperthermic.",A,Sandy and loamy marine sediments.,27.408103,-81.939865,603296.84,379763.44
530176.067699999,491467.4567,74,3805,0.3,1.32,7.6,0.500,0.004,2.6,1.2,3.3,8.500,0.48,8,3.39,0.150,0.05,4.4,S51_030,3805,3805,1978/10/03 00:00:00+00,Pasco,ALFS,ARIPEKA FINE SAND,"Aquic Hapludalfs, fine-loamy, siliceous, superactive, hyperthermic.",A,Sandy and loamy marine sediments overlying soft limestone.,28.42293,-82.668551,530175.91,491467.55
220752.045600001,743007.2509,75,4263,0.84,0.13,64.6,4.730,0.37,78.4,14.1,7.3,599.000,1.94,29,31.47,0.600,0.74,51.8,S66_016,4263,4263,1979/11/26 00:00:00+00,Walton,ENTS,KINSTON SILTY CLAY,"Fluvaquentic Endoaquepts, fine-loamy, siliceous, semiactive, acid, thermic.",A,Clayey and loamy fluvial sediments.,30.682671,-85.872359,220751.88,743007.62
612089.125100002,635110.5619,76,5263,0.5,0.2,7.2,0.730,0.004,4,0.8,2.5,29.000,1.15,5.6,3.97,0.150,0.01,3,S54_007,5263,5263,1982/04/01 00:00:00+00,Putnam,ENTS,TAVARES FINE SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A,Sandy marine and aeolian deposits.,29.705823,-81.804727,612088.95,635110.88
754458.8191,413977.6423,77,5271,1.86,0.71,104,4.780,1.54,112.2,318,5.8,1474.000,2.84,21.8,38.06,0.300,0.1,168.6,S31_002,5271,5271,1982/05/10 00:00:00+00,Indian River,ALFS,BOCA FINE SAND,"Arenic Endoaqualfs, loamy, siliceous, superactive, hyperthermic.",Ap,Sandy and loamy marine sediments overlying limestone boulders containing numerous fractures and solution holes,27.684888,-80.39861,754458.37,413977.8
175217.205800001,709290.0634,78,4732,0.57,2.02,2.3,0.010,0.004,12,0.2,2.5,57.200,2.22,26.6,7.42,NA,0.31,9,S66_025,4732,4732,1980/11/12 00:00:00+00,Walton,ENTS,NEWHAN SAND,"Typic Quartzipsamments, thermic, uncoated.",A,Sandy coastal plain marine sediments.,30.371868,-86.34121,175217.08,709290.51
733980.6151,397911.1312,79,2435,0.19,0.17,14.4,0.270,0.01,6.5,1.7,1.9,28.000,0.37,7.7,12.23,NA,0.01,12.1,S56_020,2435,2435,1976/01/27 00:00:00+00,St. Lucie,ALFS,Winder Coarse-loamy Variant Sand,"Typic Glossaqualfs, coarse-loamy, siliceous, superactive, hyperthermic.",0,Sandy and loamy marine sediments.,27.545493,-80.611051,733980.17,397911.26
744429.373500001,355477.0192,80,2791,0.33,0.24,9.4,0.100,0.02,5,7.8,8,19.400,2.77,18,2.49,NA,0.03,3.3,S43_013,2791,2791,1976/08/05 00:00:00+00,Martin,ENTS,HALLANDALE SAND,"LITHIC  PSAMMAQUENTS, SILICEOUS, HYPERTHERMIC",A,Thin beds of sandy marine sediments overlying fractured limestone.,27.160874,-80.517238,744429.05,355477.14
578884.002999999,693714.456,81,7974,1.24,1.1,25.8,2.180,0.24,26,5.2,0,16.800,2.8,18,40.22,0.300,0.58,24.6,S02_022,7974,7974,1989/05/05 00:00:00+00,Baker,ULTS,Pantego muck,"Umbric Paleaquults, loamy, siliceous, semiactive,  thermic.",Oa,Thin decomposed organic material underlain [by] sandy and loamy marine deposits,30.238595,-82.139214,578883.88,693714.7
731613.5493,353535.7521,82,2993,0.44,0.09,8.6,0.200,0.004,0.9,1.4,4.3,3.700,0.89,4.7,1.6,NA,0.08,1.8,S43_018,2993,2993,1977/02/09 00:00:00+00,Martin,ALFS,RIVIERA FINE SAND,"Arenic Glossaqualfs, loamy, siliceous, active, hyperthermic.",A,Sandy and loamy marine sediments overlying shell layers.,27.146596,-80.647296,731613.3,353535.85
578135.860100001,694201.709,83,7708,0.45,0.67,9.3,1.000,0.004,14.8,3,11.2,8.200,1.5,13,5.08,0.150,0.08,10.6,S02_006,7708,7708,1988/12/06 00:00:00+00,Baker,ULTS,Ocilla fine,"Aquic Arenic Paleudults, loamy, siliceous, semiactive, thermic",Ap,Sandy and loamy marine deposits.,30.243086,-82.146919,578135.68,694202.01
677175.678100001,354967.3453,84,6034,0.29,0.8,5.4,0.180,0.004,5.1,6.8,3,6.900,0.95,8.6,0.91,0.150,0.08,3.8,S28_015,6034,6034,1984/05/09 00:00:00+00,Highlands,ODS,SMYRNA SAND,"Aeric Alaquods, sandy, siliceous, hyperthermic",Ap,"Sandy marine materials. F. Sodek, E.W. Hopwood (IFAS) and L.J. Carter, D.L. Lewis, L. Crockett, J.A. Vega (SCS).",27.17172,-81.197142,677175.34,354967.38
567425.954700001,705727.0859,85,7934,0.5,0.2,5.1,0.400,0.19,5.1,0.5,2.8,4.400,1.86,7,2.29,0.200,0.04,1.2,S02_017,7934,7934,1989/05/02 00:00:00+00,Baker,ODS,Sapelo fine sand,"Ultic Alaquods, sandy, siliceous, thermic.",A,Sandy and loamy marine deposits,30.348326,-82.25662,567425.83,705727.43
700912.376800001,426228.6982,86,1778,0.24,0.15,5.5,NA,0.07,1.1,0.5,5.1,4.700,1.38,15.1,1.46,NA,0.08,1.3,S49_027,1778,1778,1975/02/13 00:00:00+00,Osceola,ODS,EAUGALLIE FINE SAND,"Alfic Alaquods, sandy, siliceous, hyperthermic",A,Marine sands and loamy materials.,27.80819,-80.939324,700911.98,426228.92
734289.0473,391227.1884,87,2231,0.23,0.08,0,NA,0.01,0,0,2.7,NA,0,0,1.23,NA,0.03,1.4,S56_016,2231,2231,1975/08/06 00:00:00+00,St. Lucie,ODS,WABASSO SAND,"Alfic Alaquods, sandy over loamy, siliceous, active, hyperthermic.",A1,Sandy and loamy marine sediments.,27.485249,-80.609787,734288.6,391227.32
263258.441199999,711088.2327,88,4869,0.51,0.15,8.9,NA,0.004,7.7,1.1,2.5,44.400,1.95,8.8,3.56,NA,0.08,4.4,S03_016,4869,4869,1981/04/21 00:00:00+00,Bay,ENTS,FOXWORTH FINE SAND,"Typic quartzipsamments, thermic, coated.",A,Sandy marine sediments.,30.400178,-85.424548,263258.19,711088.42
188457.167199999,774760.8167,89,4078,0.39,0.1,14.5,0.550,0.004,11.1,3.9,2.8,81.300,0.37,10,5.83,0.150,0.38,6.2,S66_006,4078,4078,1979/03/07 00:00:00+00,Walton,ULTS,TROUP SAND,"Grossarenic Kandiudults, loamy, kaolinitic, thermic.",Ap,Sandy and loamy coastal plain sediments.,30.964014,-86.21559,188457.14,774761.16
596332.451299999,617036.9891,90,5642,0.45,0.76,7.6,1.620,0.004,6.5,1.7,8.3,26.400,1.02,9.4,4.89,0.150,0.02,8.5,S54_009,5642,5642,1983/02/08 00:00:00+00,Putnam,ULTS,MILLHOPPER FINE SAND,"Grossarenic Paleudults, loamy, siliceous, semiactive, hyperthermic",A,Thick beds of sandy and loamy marine sediments.,29.545492,-81.970867,596332.29,617037.28
584079.293200001,700323.8637,91,7951,0.5,0.24,4.7,0.800,0.004,5.6,0.5,4.6,19.000,2.22,8.9,5.39,0.150,0.02,5.5,S02_019,7951,7951,1989/05/03 00:00:00+00,Baker,ENTS,Foxworth fine sand,"Typic Quartzipsamments, thermic, coated .",A1,"Sandy marine deposits, upland",30.297421,-82.084112,584079.17,700324.14
734091.965,389822.2913,92,2456,0.18,0.03,8.4,0.300,0.004,3.4,0.4,1.3,20.400,0.11,6,1.84,NA,0.04,1.9,S56_022,2456,2456,1976/01/27 00:00:00+00,St. Lucie,OLLS,Umbric Glossaqualf Sand,"Umbric Glossaqualfs, sandy, siliceous, hyperthermic.",A2,Sandy and loamy marine sediments.,27.472651,-80.612176,734091.57,389822.4
558204.225200001,689001.0476,93,7925,0.5,0.11,5.6,0.300,0.004,4.9,0.9,3,3.300,1.68,7.8,2.83,0.250,0.07,1.5,S02_016,7925,7925,1989/05/02 00:00:00+00,Baker,ODS,Sapelo sand,"Ultic Alaquods, sandy, siliceous, thermic.",A,Sandy and loamy marine deposits,30.198782,-82.354956,558204.1,689001.26
577924.830600001,486957.0836,94,23,0.94,6.54,44.6,1.540,0.04,89.6,8.6,271,45.000,2.22,48.2,16.24,NA,1.32,12.8,S51_027,23,8787,1978/10/02 00:00:00+00,Pasco,ISTS,SAMSULA MUCK,"Terric Haplosaprists, sandy or sandy skeletal, siliceous, dysic, hyperthermic.",Oa1,Non-woody hydrophytic plant remains mixed with small amount of mineral material over sandy marine deposits.,28.376827,-82.180914,577924.76,486957.09
655203.164900001,648261.4966,95,3459,0.36,2.99,5.3,1.220,0.004,3.3,2.8,3.9,26.900,0.69,0.7,142.1,0.150,0.08,2.9,S55_016,3459,3459,1978/01/31 00:00:00+00,St. Johns,ENTS,TAVARES FINE SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A,Thick beds of sandy marine sediments.,29.816635,-81.355673,655202.94,648261.67
172337.3191,749739.5895,96,4260,0.88,0.2,40.6,0.540,0.04,5,3.6,20.6,23.400,1.46,6,12.82,1.000,0.76,9.8,S66_015,4260,4260,1979/11/26 00:00:00+00,Walton,ISTS,DOROVAN MUCK,"Typic Haplosaprists, dysic, thermic.",Oa1,Decomposed woody and herbaceous plant remains over coastal plain sandy marine sediments.,30.735817,-86.379325,172337.32,749740.03
604781.9003,723387.1975,97,6470,0.33,0.1,5.7,1.000,0.004,6.3,0.9,5.2,26.100,1.05,6.8,6.7,0.150,0.03,2.8,S45_015,6470,6470,1985/04/30 00:00:00+00,Nassau,ODS,BOULOGNE FINE SAND,"Typic Alaquods, sandy, siliceous, thermic",Ap,0,30.502143,-81.864525,604781.69,723387.47
600513.4386,733781.0702,98,6740,0.4,6.3,4.6,0.800,0.05,22.3,1,6.3,15.500,1.87,14.8,2.66,0.150,0.08,4.2,S45_027,6740,6740,1985/12/10 00:00:00+00,Nassau,ODS,LEON FINE SAND,"Aeric Alaquods, sandy, siliceous, thermic",A,0,30.596453,-81.907188,600513.3,733781.37
576646.3596,703770.422,99,7715,0.5,0.7,15.5,0.900,0.01,17.9,3.4,3.6,49.600,2.48,7,8.21,0.250,0.08,11.6,S02_007,7715,7715,1988/12/06 00:00:00+00,Baker,ULTS,HORNSVILLE LOAMY FINE SAND,"Aquic Hapludults, fine, kaolinitic, thermic",Ap,"Sandy and loamy marine deposits;",30.329491,-82.160927,576646.18,703770.67
786038.239399999,330988.7258,100,1122,0.25,0.09,33.9,0.130,0.08,1,0.9,5,7.800,0.16,7.4,5.06,NA,0.02,2.3,S50_023,1122,1122,1973/10/19 00:00:00+00,Palm Beach,ODS,POMELLO FINE SAND,"Aquic Arenic Alorthods, sandy, siliceous, hyperthermic.",A,Thick beds of sandy marine sediments.,26.929209,-80.104586,786037.98,330988.82
98714.5364999995,755813.9106,101,1561,0.3,2.36,26.3,0.180,0.004,8.7,5.9,11.9,NA,0.74,4.2,5.95,0.020,0.17,9,S57_027,1561,1561,1974/12/16 00:00:00+00,Santa Rosa,ULTS,Lucy Loamy Sand,"Arenic Kandiudults, loamy, kaolinitic, thermic.",Ap,Loamy materials of the Coastal Plain.,30.775676,-87.150092,98714.44,755814.44
395265.052700002,724654.1179,102,3417,0.49,0.2,15.4,NA,0.004,12.3,1.5,2,66.300,1.31,25.6,4.28,NA,0.09,7.4,S37_030,3417,3417,1978/01/05 00:00:00+00,Leon,ULTS,ALBANY FINE SAND,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",Ap,0,30.529529,-84.049387,395265.04,724654.27
654490.519400001,652849.9096,103,3619,0.34,0.36,192,0.340,0.004,2.3,1.5,9,21.300,0.43,6.6,7.62,0.150,0.05,2.8,S55_025,3619,3619,1978/05/03 00:00:00+00,St. Johns,ODS,Pomona Sandy Bt Variant Fine Sand,"Ultic Alaquods, sandy, siliceous, hyperthermic.",A,Sandy and loamy marine sediments.,29.858094,-81.362038,654490.3,652850.12
252144.682500001,693349.3584,104,4619,0.38,0.25,7.3,0.670,0.004,10.4,1.9,7.5,10.500,0.27,7.4,3.42,0.150,0.14,12.5,S03_013,4619,4619,1980/06/04 00:00:00+00,Bay,ULTS,ALBANY FINE SAND,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",A,Sandy and loamy marine sediments.,30.239158,-85.538013,252144.43,693349.56
637703.219900001,475368.9412,105,651,0.33,0.14,1.9,0.460,0.004,17.5,0.5,11.6,25.600,0.66,9.8,2.43,NA,0.08,4.7,S49_009,651,651,1973/07/10 00:00:00+00,Osceola,ENTS,SATELLITE SAND,"Aquic Quartzipsamments, hyperthermic, uncoated.",A,"Unconsolidated marine, aeolian, or fluvial, sands.",28.263232,-81.57222,637702.7,475369.28
637325.125,402307.8496,106,4386,0.96,0.08,30.6,0.560,0.007,28,16.4,28.3,16.000,7.72,42,6.88,1.000,1.28,3.6,S25_017,4386,4386,1980/01/23 00:00:00+00,Hardee,ISTS,KALIGA MUCK,"Terric Haplosaprists, loamy, siliceous, dysic, hyperthermic.",Oa,Moderately thick beds of hydrophytic non-woody plant remains.,27.605536,-81.590658,637324.66,402307.93
613859.793400001,736319.3943,107,6717,0.41,0.08,40.9,0.700,0.07,13.2,1,9.5,57.000,0.58,11.1,4.52,0.150,0.08,4.7,S45_023,6717,6717,1985/12/11 00:00:00+00,Nassau,ULTS,OCILLA FINE SAND,"Aquic Arenic Paleudults, loamy, siliceous, semiactive, thermic",A,0,30.617215,-81.767439,613859.67,736319.59
616103.218600001,736619.5968,108,6724,0.46,0.03,99.8,1.300,0.03,20.6,1.5,6,119.000,0.71,13.7,8.13,0.150,0.08,6.5,S45_024,6724,6724,1985/12/11 00:00:00+00,Nassau,ALFS,GOLDHEAD FINE SAND,"Arenic Endoaqualfs, loamy, siliceous, subactive, thermic",A,0,30.619552,-81.743967,616103.03,736619.86
684888.587099999,554745.9096,109,1229,0.25,0.14,4.9,0.030,0.004,2.6,1.2,25.9,5.900,1.42,17.7,1.42,NA,0.07,4.5,S64_008,1229,1229,1974/01/30 00:00:00+00,Volusia,ODS,IMMOKALEE SAND,"Arenic Alaquods, sandy, siliceous, hyperthermic.",A,Sandy marine sediments.,28.968594,-81.071203,684888.31,554746.16
523112.915199999,699178.7583,110,3758,0.38,0.17,25.9,0.570,0.004,25.3,1.5,2.4,87.800,0.18,17,3.13,0.150,0.2,6.2,S12_001,3758,3758,1978/07/24 00:00:00+00,Columbia,ULTS,Bonneau Fine Sand,"Arenic Paleudults, loamy, siliceous, subactive, thermic.",A,Clayey marine sediments.,30.294225,-82.718714,523112.82,699178.97
642960.431899998,646530.2544,111,4225,0.41,0.03,23.5,0.590,0.24,31.2,9.7,2.8,31.200,0.33,7,7.64,0.150,0.11,7.6,S55_037,4225,4225,1979/06/13 00:00:00+00,St. Johns,EPTS,Ellzey Grossarenic Variant Fine Sand,"Grossarenic Umbric Endoaqualfs, sandy, siliceous, hyperthermic.",Ap,Sandy and loamy marine sediments.,29.803352,-81.482858,642960.15,646530.41
749162.488400001,421481.3434,112,5294,0.5,0.48,1.6,NA,0.004,4.5,0.4,2.3,24.400,1.47,7.3,2.49,NA,0.2,2.8,S31_006,5294,5294,1982/05/12 00:00:00+00,Indian River,ENTS,ARCHBOLD SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A,Sandy marine or aeolian deposits.,27.753812,-80.450198,749162.06,421481.47
537857.454,603649.0696,113,6808,0.36,1.7,7.5,0.300,0.004,3.3,1,1.7,12.900,0.4,7,2.33,0.250,0.01,2.9,S38_011,6808,6808,1986/01/29 00:00:00+00,Levy,ENTS,ASTATULA FINE SAND,"Typic Quartzipsamments, hyperthermic, uncoated",A,Sandy marine deposits.,29.432298,-82.57675,537857.27,603649.26
716299.8906,488588.875,114,799,1.92,9.56,83.2,5.920,0.014,71.6,18.4,18.3,380.400,2.6,38,33.16,0.600,1.12,30,S05_012,799,799,1967/04/06 00:00:00+00,Brevard,ISTS,TERRA CEIA MUCK,"Typic  Haplosaprists, euic, hyperthermic.",Oa1,Hydrophytic fibrous nonwoody plants.,28.365993,-80.766252,716299.56,488589.05
784459.795499999,346008.445,115,2779,0.29,3.25,11.2,0.180,0.03,8.5,2.8,4.3,55.400,2.37,10,2.79,NA,0.08,3.2,S43_011,2779,2779,1976/08/19 00:00:00+00,Martin,ENTS,Canaveral Coated Variant Sand,"Aquic Quartzipsamments, coated, hyperthermic.",A,Thick beds of marine sand and shell fragments.,27.064868,-80.115731,784459.51,346008.62
533610.8506,495741.2185,116,1391,0.22,0.28,4.2,0.450,0.004,5,1.6,81.7,14.800,0.2,8,2.46,NA,0.08,3.7,S27_008,1391,1391,1974/07/15 00:00:00+00,Hernando,ENTS,TAVARES FINE SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A1,Thick beds of sandy marine or aeolian deposits.,28.461072,-82.632938,533610.72,495741.3
556725.674899999,501956.2971,117,1668,0.47,0.42,22.8,0.660,0.08,12,2.9,40.9,38.400,0.1,8.4,6.51,0.030,0.08,12,S27_020,1668,1668,1975/01/09 00:00:00+00,Hernando,ALFS,FLEMINGTON FINE SANDY LOAM,"Typic Albaqualfs, very fine, smectitic, hyperthermic.",A,Fine textured marine sediments.,28.514523,-82.395631,556725.59,501956.31
517330.9133,672202.731,118,3776,0.43,0.36,8.1,1.140,0.11,11,1.3,3.2,26.900,0.43,8,55.89,0.150,0.11,3.7,S12_004,3778,3778,1978/07/25 00:00:00+00,Columbia,ALFS,ICHETUCKNEE FINE SAND,"Albaquultic Hapludalfs, fine, kaolinitic, active, thermic.",Ap,Clayey marine sediments.,30.051731,-82.781659,517330.86,672203.07
556134.153000001,552876.9058,119,4701,0.26,0.15,30.6,0.350,0.004,8.3,1.3,9.9,16.800,0.3,7.3,12.53,0.150,0.08,4.9,S09_005,4701,4701,1980/11/19 00:00:00+00,Citrus,ENTS,LAKE FINE SAND,"Typic Quartzipsamments, hyperthermic, coated.",Ap,Marine sands.,28.973079,-82.394902,556133.94,552877.01
734667.747299999,391823.2627,120,2240,0.2,1.11,0,NA,0.004,0,0,32.7,NA,0,0,3.29,NA,0.16,3.9,S56_017,2240,2240,1975/08/06 00:00:00+00,St. Lucie,ALFS,MALABAR FINE SAND,"Grossarenic Endoaqualfs, loamy, siliceous, active, hyperthermic.",A1,Sandy and loamy marine sediments.,27.490521,-80.605782,734667.29,391823.44
406666.418699998,724373.9723,121,4523,0.24,1.88,6.2,0.130,0.004,45.8,3,2.6,6.700,1.83,12.3,1.64,0.150,0.27,2.3,S33_008,4517,4517,1980/04/09 00:00:00+00,Jefferson,ULTS,DOTHAN LOAMY FINE SAND,"Plinthic Kandiudults, fine-loamy, kaolinitic, thermic.",Ap,Sandy and loamy coastal plains marine sediments.,30.526996,-83.93047,406666.36,724374.14
316532.530400001,741689.5822,122,2388,0.62,3.49,58.5,4.900,0.21,66.2,32.2,11.1,NA,1.99,27.8,33.32,NA,0.7,78.4,S32_035,2388,2388,1975/10/24 00:00:00+00,Jackson,EPTS,APALACHEE CLAY,"Fluvaquentic Dystrudepts, very fine, smectitic, semiactive, thermic.",A (upper),"Fine textured sediments; flood plain.",30.680399,-84.871826,316532.48,741689.65
777459.3028,351922.1322,123,2551,0.23,0.03,1.3,0.650,0.004,0,0.1,0.6,5.400,0.2,5.9,0.68,NA,0.08,3.2,S43_003,2551,2551,1976/03/17 00:00:00+00,Martin,ODS,WAVELAND SAND,"Arenic Alaquods, sandy, siliceous, hyperthermic, ortstein.",A,Sandy marine sediments.,27.120071,-80.184565,777459.03,351922.32
604282.9298,441621.2422,124,3044,0.4,1.83,39.4,0.610,0.14,11.2,1.4,3.7,45.200,0.67,3.9,22.5,0.150,0.08,14,S53_004,3044,3044,1977/02/24 00:00:00+00,Polk,ULTS,APOPKA FINE SAND,"GROSSARENIC PALEUDULTS, LOAMY, SILICEOUS, SUBACTIVE, HYPERTHERMIC",Ap,"Thick beds of sandy and loamy marine or aeolian deposits; upland ridge",27.964903,-81.919305,604282.31,441621.41
635308.403299998,736496.308,125,6171,0.54,0.14,34.1,2.920,2.54,19.5,1.3,4.1,251.500,0.66,10.8,6.92,0.530,0.05,11.7,S45_004,6171,6171,1984/10/01 00:00:00+00,Nassau,ENTS,CHIPLEY FINE SAND,"Aquic Quartzipsamments, thermic, coated",Ap,Sandy marine sediments,30.615134,-81.543549,635308.17,736496.49
290245.1435,777116.8157,126,1442,0.51,0.54,67.2,2.140,0.01,19.8,5.7,5.2,59.400,0.28,11.4,9.16,NA,0.12,14.1,S32_014,1442,1442,1974/08/01 00:00:00+00,Jackson,EPTS,TORHUNTA SANDY LOAM,"Typic Humaquepts, coarse-loamy, siliceous, acid, active, thermic.",A1,Unconsolidated sandy marine deposits.,30.997769,-85.149836,290245.17,777116.9
765638.950100001,344745.6953,127,2566,0.2,0.02,4.3,0.050,0.004,0,0.6,1.4,2.200,0.13,5.8,1.81,NA,0.08,1.1,S43_005,2566,2566,1976/03/18 00:00:00+00,Martin,ALFS,PINEDA SAND,"Arenic Glossaqualfs, loamy, siliceous, active, hyperthermic.",A,Sandy and loamy marine sediments.,27.058708,-80.306147,765638.74,344745.83
266078.415899999,725196.871,128,4115,0.26,0.22,10.4,0.600,0.004,2.5,1.4,4.1,43.400,0.19,8,4.92,0.150,0.02,2.7,S03_001,4115,4115,1979/03/20 00:00:00+00,Bay,ODS,HURRICANE SAND,"Aquic Grossarenic Alorthods, sandy, siliceous, thermic.",A,Sandy marine sediments.,30.527593,-85.396837,266078.26,725197.08
776627.565400001,364907.9051,129,2578,0.92,2,30.1,0.660,0.007,21.7,3,20.4,24.500,6.53,6.3,7.88,NA,0.32,11.3,S43_007,2578,2578,1976/03/19 00:00:00+00,Martin,ISTS,BESSIE MUCK,"TERRIC HAPLOSAPRISTS CLAYEY, SMECTITIC, EUIC, HYPERTHERMIC",Oa,Organic accumulations on fine textured marine sediments overlying shell layers tidal swamp.,27.237198,-80.188912,776627.25,364908.1
594729.1644,415379.1925,130,3479,0.54,5.38,50.2,0.620,0.03,17,34.5,3.7,57.400,1.03,1,145,0.150,0.08,24.6,S53_007,3479,3479,1978/04/03 00:00:00+00,Polk,EPTS,FORT MEADE SAND,"Humic Psammentic Dystrudepts, siliceous, hyperthermic.",Ap,Thick beds of loamy sands overlying or mixed with phosphate materials.,27.730049,-82.020885,594728.66,415379.24
650273.0218,650625.8897,131,3583,2.24,7.36,12.2,0.060,0,27.2,2,18,5.000,7.28,3.2,0,0.600,0.33,34.4,S55_018,3583,3583,1978/05/01 00:00:00+00,St. Johns,ISTS,HONTOON MUCK,"Typic Haplosaprists, dysic, hyperthermic.",Oa1,Thick beds of non-woody hydrophytic plant remains.,29.838871,-81.406227,650272.77,650626.05
637018.982299998,668902.7092,132,3846,0.45,0.12,13.5,NA,0.004,6.8,0.7,3.8,17.200,1.89,26.7,4.61,NA,0.07,3,S55_032,3846,3846,1978/10/19 00:00:00+00,St. Johns,ODS,SMYRNA FINE SAND,"Aeric Alaquods, sandy, siliceous, hyperthermic.",Ap,Sandy marine deposits.,30.005922,-81.539773,637018.71,668902.94
661534.720600002,357793.752,133,5441,0.53,0.78,1,0.010,0.004,4.8,0.2,1.8,3.300,1.08,7.6,0.9,0.120,0.08,1.2,S28_007,5441,5441,1982/10/05 00:00:00+00,Highlands,ENTS,ST. LUCIE SAND,"Typic Quartzipsamments, hyperthermic, uncoated",A,Marine deposits.,27.20028,-81.354644,661534.37,357793.76
660616.582199998,355873.3741,134,5445,0.52,0.03,1.3,NA,0.004,5.9,0.2,2,8.300,1.48,10.3,1.75,0.150,0.16,1.5,S28_008,5445,5445,1982/10/05 00:00:00+00,Highlands,ENTS,ARCHBOLD SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A,Marine deposits.,27.183166,-81.364343,660616.24,355873.42
781476.127900001,241016.2946,135,4652,0.27,1.26,6.6,0.030,0.004,10.2,1.6,5.4,5.500,0.56,8,30.61,0.150,0.03,7.3,S06_018,4652,4652,1980/06/11 00:00:00+00,Broward,ODS,DUETTE SAND,"Grossarenic Alorthods, sandy, siliceous, hyperthermic.",A,Sandy marine sediments.,26.120358,-80.178715,781475.98,241016.35
626962.948100001,746237.5811,136,6188,0.36,22.18,71.2,1.710,0.004,23.8,1.7,1.9,157.000,0.74,18.1,8.81,0.150,0.02,5.6,S45_007,6188,6188,1984/10/03 00:00:00+00,Nassau,ULTS,ALBANY FINE SAND,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",A,Sandy and loamy marine sediments,30.70438,-81.628692,626962.78,746237.83
670783.562800001,459237.5515,137,1346,0.38,0.44,7.2,0.560,0.007,6.3,7.2,38.6,5.600,1.44,11.2,3.2,NA,0.22,4.2,S49_018,1346,1346,1974/04/18 00:00:00+00,Osceola,ODS,BASINGER MUCKY LOAMY FINE SAND,"Spodic Psammaquents, siliceous, hyperthermic.",A,Thick beds of marine sands.,28.111742,-81.238148,670783.19,459237.71
