X,Y,OBJECTID,ID_MA98,AG_MG_KG,AS_MG_KG,BA_MG_KG,BE_MG_KG,CD_MG_KG,CR_MG_KG,CU_MG_KG,HG_MG_KG,MN_MG_KG,MO_MG_KG,NI_MG_KG,PB_MG_KG,SB_MG_KG,SE_MG_KG,ZN_MG_KG,ID_UFSCL,FDOTID_UF,LAB_NUM_UF,DATE_UF,COUNTY_UF,SOIL_ORDER,SO_SER_UF,SOIL_TY_UF,HORIZON_UF,PARENT_UF,LATITUDE,LONGITUDE,ALBERS_X,ALBERS_Y
561607.962099999,634651.3207,28,2753,0.32,0.24,6.3,0.260,0.004,2.5,1,6.2,4.900,0.2,5.9,1.71,NA,0.02,2.8,S01_080,2753,2753,1976/06/24 00:00:00+00,Alachua,ODS,WAUCHULA SAND,"Ultic Alaquods, sandy over loamy, siliceous, active, hyperthermic.",A,Thick beds of sandy and loamy marine sediments.,29.708818,-82.327233,561607.82,634651.58
632510.663899999,680714.7717,29,3596,0.29,0.36,213,0.370,0,2.7,1,7.5,32.100,0.37,7,0,0.150,0.08,2.5,S55_021,3596,3596,1978/05/02 00:00:00+00,St. Johns,ULTS,SPARR FINE SAND,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, hyperthermic.",A,Thick beds of sandy and loamy marine sediments.,30.113116,-81.584155,632510.42,680714.93
640901.628199998,636008.4759,30,4212,0.48,0.13,28.4,0.990,0.2,49.1,16.4,3.4,76.800,3.19,38,8.88,0.150,0.16,11.5,S55_035,4212,4212,1979/06/02 00:00:00+00,St. Johns,OLLS,FLORIDANA FINE SAND,"Arenic Argiaquolls, loamy, siliceous, superactive, hyperthermic.",Ap,Sandy and loamy marine sediments.,29.708975,-81.506386,640901.42,636008.65
612740.9091,632875.6042,31,5236,0.26,7.46,5.3,0.650,0.004,2,0.9,7.5,24.200,0.04,7.9,3.34,0.150,0.14,2.6,S54_003,5236,5236,1982/03/30 00:00:00+00,Putnam,ENTS,CANDLER FINE SAND,"Lamellic  Quartzipsamments, hyperthermic, uncoated.",A,Thick beds of aeolian or marine deposits of coarse textured materials.,29.685591,-81.798395,612740.67,632875.89
769044.875300001,371491.7925,32,2466,0.78,1.02,12.1,0.220,0.16,4.1,4,15.2,15.300,3.72,4.8,59.7,NA,1.1,9.2,S56_023,2466,2466,1976/01/28 00:00:00+00,St. Lucie,ISTS,SAMSULA MUCK,"Terric Haplosaprists, sandy, siliceous, dysic, hyperthermic.",Oa1,Moderately thick beds of hydrophytic non-woody plant remains over sandy marine sediments.,27.298553,-80.263576,769044.51,371491.98
644063.183699999,239947.4386,33,7435,0.39,3.6,13.3,0.500,0.004,18.4,1,3.6,21.000,0.4,8,5.41,0.150,0.17,5.8,S11_002,7435,7435,1987/09/19 00:00:00+00,Collier,OLLS,Jupiter Fine Sand,"Lithic Endoaquolls, sandy, siliceous, hyperthermic.",A1,Marine sands from limestone material,26.142185,-81.554947,644062.86,239947.29
669351.537500001,582190.6061,34,2671,0.4,0.34,13.5,1.570,0.02,8.1,1.7,5.1,16.900,0.8,6.9,2.98,NA,0.11,2.5,S64_027,2671,2671,1976/05/12 00:00:00+00,Volusia,ULTS,Scoggin Loamy Surface Variant Fine Sandy Loam,"Umbric Endoaqualfs, fine-loamy, siliceous, subactive, hyperthermic.",A,Thick deposits of sandy and loamy marine sediments.,29.218911,-81.224527,669351.25,582190.86
667889.013099998,559773.2012,35,1216,0.41,1.39,112,0.050,0.08,2.7,21.2,14.9,363.000,1.42,1.8,4.3,0.150,0.47,17.4,S64_006,1216,1216,1974/01/29 00:00:00+00,Volusia,ENTS,PAOLA FINE SAND,"Spodic Quartzipsamments, hyperthermic, uncoated.",A,Thick beds of marine or aeolian sands.,29.017381,-81.244753,667888.68,559773.47
688294.761399999,553495.5554,36,1222,0.29,0.18,8,0.210,0.09,10.9,2.7,25.6,14.900,1.62,17.9,7.92,NA,0.08,5.1,S64_007,1222,1222,1974/01/29 00:00:00+00,Volusia,ODS,Pomona Sandy Bt Variant Sand,"Aeric Alaquods, sandy, siliceous, hyperthermic.",A,Thick deposits of sandy and loamy marine sediments.,28.956605,-81.036508,688294.42,553495.75
534432.065200001,598397.8086,37,6803,0.34,3.7,11.1,0.300,0.004,3.7,1.9,3.7,25.600,0.41,7,2.39,0.150,0.08,5.9,S38_010,6803,6803,1986/01/29 00:00:00+00,Levy,ENTS,CANDLER FINE SAND,"Lamellic Quartzipsamments, hyperthermic, uncoated",Ap,Sandy and loamy marine sediments.,29.385359,-82.612721,534431.82,598397.97
