DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9060990,"N,O-Bis(trifluoroacetyl)hydroxylamine",684-78-6,CYSAMXITKBXZOP-UHFFFAOYSA-N,"2,2,2-Trifluoro-N-[(trifluoroacetyl)oxy]acetamide",FC(F)(F)C(=O)NOC(=O)C(F)(F)F,"InChI=1S/C4HF6NO3/c5-3(6,7)1(12)11-14-2(13)4(8,9)10/h(H,11,12)",C4HF6NO3,225.046,224.986062,36,1,67,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00379829,7H-Perfluoroheptanoyl chloride,41405-35-0,SQQWEKUYKNKPOG-UHFFFAOYSA-N,"2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptanoyl chloride",FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=O,"InChI=1S/C7HClF12O/c8-1(21)3(11,12)5(15,16)7(19,20)6(17,18)4(13,14)2(9)10/h2H",C7HClF12O,364.51,363.952430,33,,31,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4059912,Heptafluorobutyl iodide,374-98-1,AFHPVXVEXINDFS-UHFFFAOYSA-N,"1,1,1,2,2,3,3-Heptafluoro-4-iodobutane",FC(F)(F)C(F)(F)C(F)(F)CI,"InChI=1S/C4H2F7I/c5-2(6,1-12)3(7,8)4(9,10)11/h1H2",C4H2F7I,309.953,309.908940,50,,51,,1,6/469,1.0,469
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20371926,Ethyl 5H-octafluoropentanoate,2795-50-8,HXWMNJVBQLBDGW-UHFFFAOYSA-N,"Ethyl 2,2,3,3,4,4,5,5-octafluoropentanoate",CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,"InChI=1S/C7H6F8O2/c1-2-17-4(16)6(12,13)7(14,15)5(10,11)3(8)9/h3H,2H2,1H3",C7H6F8O2,274.11,274.024005,23,,30,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50335697,Ethyl perfluoropentanoate,424-36-2,JBEYNXOZKKQLOH-UHFFFAOYSA-N,Ethyl nonafluoropentanoate,CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7H5F9O2/c1-2-18-3(17)4(8,9)5(10,11)6(12,13)7(14,15)16/h2H2,1H3",C7H5F9O2,292.101,292.014583,32,,48,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4073120,Perfluorobutyl methyl ether,163702-07-6,OKIYQFLILPKULA-UHFFFAOYSA-N,"1,1,1,2,2,3,3,4,4-Nonafluoro-4-methoxybutane",COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5H3F9O/c1-15-5(13,14)3(8,9)2(6,7)4(10,11)12/h1H3",C5H3F9O,250.064,250.004018,104,,71,38,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50226894,9H-Perfluorononanoic acid,76-21-1,RARQGXBOCXOJPM-UHFFFAOYSA-N,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-Hexadecafluorononanoic acid",OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,"InChI=1S/C9H2F16O2/c10-1(11)3(12,13)5(16,17)7(20,21)9(24,25)8(22,23)6(18,19)4(14,15)2(26)27/h1H,(H,26,27)",C9H2F16O2,446.087,445.979930,67,50,56,,1,28/300,9.0,300
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2059930,Methyl pentafluoropropionate,378-75-6,JMKJCPUVEMZGEC-UHFFFAOYSA-N,Methyl pentafluoropropanoate,COC(=O)C(F)(F)C(F)(F)F,"InChI=1S/C4H3F5O2/c1-11-2(10)3(5,6)4(7,8)9/h1H3",C4H3F5O2,178.058,178.005320,49,,84,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70177132,(6H-Perfluorohexyl)methyl methacrylate,2261-99-6,YJKHMSPWWGBKTN-UHFFFAOYSA-N,"2,2,3,3,4,4,5,5,6,6,7,7-Dodecafluoroheptyl 2-methylprop-2-enoate",CC(=C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,"InChI=1S/C11H8F12O2/c1-4(2)5(24)25-3-7(14,15)9(18,19)11(22,23)10(20,21)8(16,17)6(12)13/h6H,1,3H2,2H3",C11H8F12O2,400.164,400.033267,43,,49,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4059916,Perfluorobutanoic acid,375-22-4,YPJUNDFVDDCYIH-UHFFFAOYSA-N,Heptafluorobutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",C4HF7O2,214.039,213.986476,187,96,123,,1,9/506,2.0,506
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20379346,"(2H-Perfluoropropyl)(1H,1H-perfluoroethyl)ether",993-95-3,LMRGTZDDPWGCGL-UHFFFAOYSA-N,"1,1,1,2,3,3-Hexafluoro-3-(2,2,2-trifluoroethoxy)propane",FC(C(F)(F)F)C(F)(F)OCC(F)(F)F,"InChI=1S/C5H3F9O/c6-2(4(10,11)12)5(13,14)15-1-3(7,8)9/h2H,1H2",C5H3F9O,250.064,250.004018,19,,46,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0036926,"Perfluoro-1,3-dimethylcyclohexane",335-27-3,LOQGSOTUHASIHI-UHFFFAOYSA-N,"1,1,2,2,3,3,4,5,5,6-Decafluoro-4,6-bis(trifluoromethyl)cyclohexane",FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,"InChI=1/C8F16/c9-1(7(19,20)21)3(11,12)2(10,8(22,23)24)5(15,16)6(17,18)4(1,13)14",C8F16,400.062,399.974451,100,,60,,1,0/162,0.0,162
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0059794,Perfluorooctane,307-34-6,YVBBRRALBYAZBM-UHFFFAOYSA-N,Octadecafluorooctane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8F18/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)26",C8F18,438.059,437.971257,113,183,80,1,1,0/469,0.0,469
